volledigeOmschrijving,soortWoning
"[-0.1730977  -0.4208008   1.9990284   0.8795907   0.7920735  -0.5431902
  3.3478596   0.14524154 -2.4327507  -1.0732673 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.284712    0.25719902  1.514534    0.02536933  1.177137   -0.5933019
  3.0137353   2.4660838  -3.7965157  -1.2991778 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.3237299  -0.205661    2.0792217   1.0382223   0.7232775  -0.5461501
  3.362845   -0.12691332 -2.3695912  -1.1262696 ]","[ 0.04319736 -0.35051674  1.498276    0.6532173   0.81815284 -0.40905178
  2.3035116   0.5774985  -1.8439919   0.33482394]"
"[-0.09866967 -0.29566854  1.8280463   0.8657311   0.7030399  -0.3769266
  3.3738577   0.25289774 -2.4085326  -0.92308444]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.16956629 -0.53056794  1.2585033   0.810967    0.49035156 -0.08905701
  2.8376493   0.5489054  -1.9834486  -0.9270712 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.26262486 -0.04743192  1.2774202   0.9723706   0.42526948 -0.46514836
  2.481385    0.05847405 -1.5728936  -0.5370094 ]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[ 0.02633857 -0.548588    2.2113779   1.1033915   0.76927096 -0.49150458
  3.8121972   0.10110768 -2.4554288  -1.2026029 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.380685   -0.67136556  1.6959875   1.3677562   0.4604204  -0.04141634
  4.12362     0.6214154  -2.3191366  -1.0420359 ]","[ 0.516263   -0.6621382   2.3926668   0.03240407  1.1783825  -0.7523264
  2.9561567   1.2458208  -2.3247283   0.22658013]"
"[ 0.16116065 -0.35077     1.6292642   0.89497364  0.5331049  -0.20950732
  3.228792    0.47509372 -2.1465487  -0.93978816]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[-0.26386338  0.28189126  1.5057893  -0.05988233  1.246874   -0.6835024
  3.0488777   2.672394   -3.815188   -1.2617784 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[ 0.1909987  -0.515463    1.8895053   1.2571363   0.59607005 -0.30497694
  3.9580507   0.43438593 -2.4284558  -0.9995807 ]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[-0.08710084 -0.4446356   2.0099323   0.99422777  0.5624868  -0.4255853
  3.5401914   0.18529926 -2.372319   -1.0636982 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.15031268 -0.39624342  1.6855898   1.2222154   0.58723485 -0.10656445
  3.9408998   0.5267207  -2.411843   -0.88319284]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.32600608 -0.19788186  1.7850353   1.2482196   0.6740338   0.11308168
  4.1346707   1.0001574  -2.7195714  -1.0970463 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.14186727 -0.26103395  2.1485891   1.285099    0.59604716 -0.26779824
  3.9631848   0.03601434 -2.454625   -1.091919  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.09389754 -0.166026    1.9406406   1.0880754   0.68722445 -0.09369395
  4.0455804   0.6922663  -2.6622865  -1.0324713 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.24716878 -0.18678217  1.8439882   0.80824727  0.6876042  -0.46468624
  3.1789048   0.01470641 -2.2811472  -0.9057438 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.23346043 -0.49927503  1.6732271   1.040672    0.5798131  -0.18389012
  3.688158    0.5753943  -2.2373602  -0.94548917]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.05433928 -0.38689974  1.8715746   1.3226115   0.64279586 -0.25014722
  3.9264593   0.35790917 -2.4795487  -1.1718129 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.09389754 -0.166026    1.9406406   1.0880754   0.68722445 -0.09369395
  4.0455804   0.6922663  -2.6622865  -1.0324713 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.15871315 -0.30396795  1.6407602   0.90932935  0.5643202  -0.12452436
  3.4694285   0.9519409  -2.4763017  -1.1229267 ]","[-0.00767174  0.00440833  0.0816115   0.03865111  0.04998174 -0.02279599
  0.1381202   0.10887489 -0.17879571 -0.08939448]"
"[-0.08756163 -0.17259517  1.5337708   0.80910283  0.54874504 -0.32361007
  2.8768933   0.26731485 -1.9734555  -0.82536113]","[-0.02353624 -0.03199091  0.13420671 -0.09938577  0.19096956 -0.04419796
  0.1448713   0.29160935 -0.46693444 -0.34187686]"
"[ 0.27862838 -0.55468935  1.8647326   1.1725442   0.6320391  -0.22741987
  3.9835732   0.51752114 -2.361214   -0.9056923 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.01133627 -0.45725814  2.0323842   1.0239339   0.71322757 -0.38979292
  3.704455    0.28098786 -2.4355886  -1.0941184 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.36690006 -0.6164891   1.4981952   1.1063975   0.52170867 -0.132109
  3.8447995   1.068537   -2.4837322  -0.8702    ]","[ 0.03442356 -0.4968094   2.0546138   0.84249234  1.1357318  -0.5620651
  3.1409285   0.7843309  -2.5406876   0.38346455]"
"[-0.27775145  0.16675074  1.6269029   0.25180873  1.082708   -0.62156874
  3.1005244   2.003073   -3.440034   -1.2178092 ]","[ 0.04075242 -0.24272922  0.7381407   0.07064207  0.54924345 -0.26897812
  0.6466875   1.0252621  -1.7416083  -0.50670284]"
"[ 0.27852547 -0.6032189   1.7639502   1.2314839   0.51117265 -0.14348793
  4.0582414   0.59975326 -2.322438   -0.91404724]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.18180646 -0.6084596   2.0235898   1.2316446   0.638628   -0.34280872
  4.1353483   0.4461239  -2.4414902  -1.046115  ]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[ 0.12298267 -0.39645112  2.0333729   1.6262684   0.57786924 -0.09467541
  4.660214    0.47830042 -2.8206077  -1.1759384 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.29084632 -0.24979872  2.181248    1.1404182   0.685558   -0.41730478
  3.8476284  -0.02092698 -2.5164459  -1.0235234 ]","[ 0.10059598 -0.19738708  1.5339161   0.30239227  0.933753   -0.20697208
  2.256852    0.43419102 -1.3755985   0.2202996 ]"
"[-0.25273207 -0.31950116  2.124157    0.96530056  0.72534287 -0.49890918
  3.512281   -0.10137805 -2.5019631  -1.1020333 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.18448147 -0.27473933  2.0203848   0.8471983   0.76613694 -0.45164272
  3.3929117   0.08545506 -2.4140885  -1.110466  ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.18936774 -0.27838057  2.0782263   0.89152914  0.7791237  -0.47118732
  3.4938254   0.10453416 -2.4619853  -1.1226671 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.00691513 -0.23149724  1.9573814   1.1534721   0.6936293  -0.32209027
  3.832433    0.371374   -2.4676838  -0.98579293]","[-0.03878943 -0.06787348  0.06716269 -0.0853338   0.1412032  -0.09697701
  0.05147123  0.27083394 -0.4423414  -0.27789843]"
"[ 0.26843902 -0.5168062   1.9500881   1.2523127   0.6125944  -0.28618252
  4.1016088   0.42650732 -2.2979207  -0.83719647]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.24723554 -0.35558495  1.558003    1.1011181   0.47580972 -0.09225931
  3.6491      0.7280347  -2.294608   -0.8985034 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.05524625 -0.4700984   2.0409477   1.5545565   0.64884543 -0.29102764
  4.300209    0.1756793  -2.5906715  -1.1069705 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.18448147 -0.27473933  2.0203848   0.8471983   0.76613694 -0.45164272
  3.3929117   0.08545506 -2.4140885  -1.110466  ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.14071263 -0.5415352   2.126558    1.6835507   0.6131343  -0.2787081
  4.8077674   0.47706887 -2.6731265  -0.9925774 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.01773804 -0.40230244  2.005758    1.3866677   0.6582746  -0.38995388
  4.158063    0.2128741  -2.5294552  -1.0236224 ]","[-0.02755636 -0.00680246  0.12910232 -0.03503557  0.14055622 -0.01359993
  0.13408905  0.19723958 -0.4061038  -0.21437548]"
"[-0.027191   -0.31336072  2.3765469   1.2391605   0.813541   -0.43187803
  4.119556    0.1761006  -2.7455668  -1.2935821 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.027191   -0.31336072  2.3765469   1.2391605   0.813541   -0.43187803
  4.119556    0.1761006  -2.7455668  -1.2935821 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.38262358 -0.57814926  1.7079617   1.2132245   0.5012498  -0.02719943
  3.883149    0.57076645 -2.265992   -1.0554206 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.027191   -0.31336072  2.3765469   1.2391605   0.813541   -0.43187803
  4.119556    0.1761006  -2.7455668  -1.2935821 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.25273207 -0.31950116  2.124157    0.96530056  0.72534287 -0.49890918
  3.512281   -0.10137805 -2.5019631  -1.1020333 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[ 2.3144479e-03 -2.5256136e-01  1.5703973e+00  8.3608431e-01
  6.1823511e-01 -2.3917086e-01  3.2897594e+00  3.2102659e-01
 -2.0864182e+00 -7.1148723e-01]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.027191   -0.31336072  2.3765469   1.2391605   0.813541   -0.43187803
  4.119556    0.1761006  -2.7455668  -1.2935821 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.20281418 -0.36852822  2.1253974   0.9441917   0.7910196  -0.46851698
  3.5955477   0.11311281 -2.502172   -1.1438347 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[ 0.2697843  -0.37044272  1.8619082   1.2076554   0.5766038  -0.19282052
  4.173957    0.48967338 -2.364505   -1.0081433 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[ 0.12292133 -0.36132059  1.8525766   1.0733887   0.6849089  -0.3022453
  3.6893566   0.45778343 -2.5242941  -1.0629117 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.64939064 -0.8750118   1.7114393   1.5396258   0.33550978  0.04502811
  4.0949583   0.69528854 -2.2194867  -1.2707789 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.02162926  0.0482773   0.18626419  0.01083114  0.10779673 -0.01511056
  0.10341389  0.07067262 -0.14617874 -0.05996437]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.08409303 -0.46690246  1.7559428   1.1521778   0.5549271  -0.36858314
  3.5875428   0.43811226 -2.27459    -0.9277857 ]","[ 0.07915807 -0.1564468   0.8242625   0.12379143  0.52504826 -0.37051392
  0.937372    1.2547888  -1.790338   -0.6436312 ]"
"[ 0.31710747 -0.60872954  2.0827029   1.3631803   0.60884243 -0.27288833
  4.093768    0.28103587 -2.4452035  -1.3462136 ]","[ 0.03442356 -0.4968094   2.0546138   0.84249234  1.1357318  -0.5620651
  3.1409285   0.7843309  -2.5406876   0.38346455]"
"[ 0.02168981 -0.35579133  1.9418927   1.0335534   0.70347166 -0.2512293
  3.707256    0.4910021  -2.5799544  -1.132544  ]","[-0.00035831 -0.02180552  0.12133559  0.06379817  0.07144704 -0.03518148
  0.0895353   0.1471548  -0.13712181 -0.09455755]"
"[ 0.30136344 -0.32874095  1.8380014   1.4308028   0.6014196  -0.05483228
  4.34912     0.61869216 -2.5602     -0.9578428 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[ 0.1834143  -0.29087657  1.7747627   1.1540666   0.6547467  -0.04956705
  3.782836    0.53300405 -2.423563   -1.0459957 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.09588249 -0.4420927   2.1800752   1.2100852   0.6882604  -0.4416853
  3.8594968  -0.01403894 -2.4054775  -1.1175363 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[-0.17302495 -0.30756426  1.9149271   1.0792544   0.68916446 -0.3667876
  3.532841    0.17766795 -2.3958871  -1.0211354 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.29645917 -0.58774585  1.7066911   1.1364156   0.5143568  -0.1543289
  3.823151    0.59588957 -2.2655592  -0.97779185]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.00679    -0.5033729   1.8753778   1.0072982   0.5786191  -0.30154452
  3.7412548   0.41348228 -2.4019175  -0.9846695 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.01093559 -0.28629676  1.4457917   0.54263777  0.68253386 -0.2247354
  2.535696    0.75831187 -2.2673724  -1.0099791 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.14186727 -0.26103395  2.1485891   1.285099    0.59604716 -0.26779824
  3.9631848   0.03601434 -2.454625   -1.091919  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.1730977  -0.4208008   1.9990284   0.8795907   0.7920735  -0.5431902
  3.3478596   0.14524154 -2.4327507  -1.0732673 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.00476448 -0.38609543  1.9336172   1.218434    0.6202633  -0.22796077
  3.9060302   0.27072382 -2.4194825  -1.0226686 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.25273207 -0.31950116  2.124157    0.96530056  0.72534287 -0.49890918
  3.512281   -0.10137805 -2.5019631  -1.1020333 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.01385675 -0.34591633  1.7349209   0.7061227   0.79753965 -0.33630976
  3.2429748   0.75294894 -2.5103176  -1.1228099 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.2785173  -0.57281137  1.450378    1.0645653   0.5116389  -0.01121931
  3.6034994   0.7682081  -2.2065077  -0.8290714 ]","[ 0.03411436 -0.34205103  1.6167855   0.6341111   0.90554875 -0.4387551
  2.4257057   0.6695059  -1.9815164   0.28734756]"
"[-0.0429819  -0.40653387  1.887096    1.182611    0.655313   -0.2019848
  3.8641427   0.389526   -2.511472   -1.072961  ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[-0.027191   -0.31336072  2.3765469   1.2391605   0.813541   -0.43187803
  4.119556    0.1761006  -2.7455668  -1.2935821 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.027191   -0.31336072  2.3765469   1.2391605   0.813541   -0.43187803
  4.119556    0.1761006  -2.7455668  -1.2935821 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.22550224 -0.4143143   1.1652889   0.8620925   0.41096878 -0.02414147
  2.866663    0.6128338  -1.9503443  -0.85621625]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.25273207 -0.31950116  2.124157    0.96530056  0.72534287 -0.49890918
  3.512281   -0.10137805 -2.5019631  -1.1020333 ]","[-0.02755636 -0.00680246  0.12910232 -0.03503557  0.14055622 -0.01359993
  0.13408905  0.19723958 -0.4061038  -0.21437548]"
"[ 0.03661591 -0.40379697  1.8019688   0.9442182   0.58409274 -0.30925673
  3.540645    0.44223073 -2.2698472  -0.87728703]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.09866967 -0.29566854  1.8280463   0.8657311   0.7030399  -0.3769266
  3.3738577   0.25289774 -2.4085326  -0.92308444]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.5267794  -0.7522669   1.3379271   0.9491836   0.4056555  -0.1218816
  3.4736757   1.0307457  -2.0449727  -0.86652505]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.27590257 -0.2690025   2.1633253   0.94370806  0.6972427  -0.4678981
  3.6065423   0.04719245 -2.5655148  -0.9832099 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.07613878 -0.45664337  1.748248    0.91218305  0.6256256  -0.23934232
  3.5656104   0.4769483  -2.4898376  -0.95629704]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.17407262 -0.48689833  1.65055     1.2195871   0.6115767  -0.21720576
  4.1008167   0.82009184 -2.4433885  -0.7644243 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.17456785 -0.46584916  2.144985    1.4903387   0.7606862  -0.29742593
  4.5351605   0.24136761 -2.713505   -1.1793339 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[ 0.34926686 -0.5290333   1.4203101   0.8705621   0.4801028   0.01150216
  3.1056106   0.6126347  -2.0683692  -1.1004514 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.33318248 -0.66795665  1.4405243   0.7624322   0.5223476  -0.13033505
  3.3069713   0.93847245 -2.2286823  -1.0171958 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.09696135 -0.41801074  2.0614831   1.247478    0.656893   -0.39113775
  3.9506876   0.06635309 -2.5040631  -1.0987898 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.2802141  -0.36233833  1.8317918   1.135058    0.7228609  -0.10419698
  3.970184    0.67600864 -2.508992   -0.9779022 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.37278152 -0.70628464  1.9689144   1.5548487   0.53007144 -0.09851857
  4.4673815   0.44252628 -2.607861   -1.2932779 ]","[ 0.0459221  -0.2948567   0.67495704  0.02387075  0.5433401  -0.36893287
  0.49179223  1.0630989  -1.7254823  -0.6850548 ]"
"[ 0.09479558 -0.6244647   2.0760226   1.3905288   0.6287557  -0.37860018
  4.2193995   0.20092928 -2.4909253  -1.0248741 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.44378567 -0.684486    1.8523842   1.3580037   0.46314815 -0.1128973
  4.234301    0.7759711  -2.3988943  -1.1009502 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.10218497 -0.5898913   2.2063692   1.3070872   0.7973418  -0.37431118
  4.318453    0.44446218 -2.6709745  -1.1549196 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.16142833 -0.27640197  2.125761    1.0170692   0.7494371  -0.49219528
  3.623108    0.0880038  -2.5020285  -1.0587806 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.16142833 -0.27640197  2.125761    1.0170692   0.7494371  -0.49219528
  3.623108    0.0880038  -2.5020285  -1.0587806 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.46590745 -0.66238606  1.2539252   0.98679364  0.38306826  0.06647716
  3.322994    0.7978633  -2.1542149  -0.9968341 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.18115848 -0.61140215  1.9171612   1.205051    0.6044184  -0.32978305
  3.8235905   0.29005358 -2.32296    -1.0611558 ]","[ 0.03411436 -0.34205103  1.6167855   0.6341111   0.90554875 -0.4387551
  2.4257057   0.6695059  -1.9815164   0.28734756]"
"[-0.14866574 -0.2687115   2.0677528   1.0091536   0.7404412  -0.46462047
  3.6165967   0.20536888 -2.5197923  -1.0363572 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.11260686 -0.52392864  1.5654334   0.9871548   0.52988166 -0.18672043
  3.1931973   0.51039064 -2.2021494  -1.0306262 ]","[ 0.07339062 -0.5270309   2.120125    0.1243864   0.9771493  -0.6144153
  2.1085825   0.5888113  -2.14453    -0.5117392 ]"
"[ 0.26546058 -0.5305709   1.4511615   0.90406394  0.44363683 -0.03037101
  3.286907    0.5660539  -1.9531189  -0.8378931 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.16464965 -0.4402224   1.7573304   1.0126382   0.59608316 -0.2067447
  3.7932758   0.57176733 -2.483602   -0.93480635]","[-0.03346129 -0.04773197  0.17667654 -0.03313481  0.2280117  -0.0444337
  0.18407689  0.35137233 -0.56460416 -0.32930887]"
"[-0.33123738 -0.21586725  2.394797    0.6534735   1.3002589  -0.8504888
  4.2838817   0.19567856 -2.6992583  -0.52224326]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[ 0.04544818 -0.5435072   1.9099554   1.2379327   0.6378109  -0.26285243
  4.105312    0.37520444 -2.4403307  -0.9155797 ]","[ 0.516263   -0.6621382   2.3926668   0.03240407  1.1783825  -0.7523264
  2.9561567   1.2458208  -2.3247283   0.22658013]"
